path,source_group,route,route_name,website_features,columns,column_count,sample_count,sample_file,encoding,size_bytes,modified_at,scan_error
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_04.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_04_3b2a062f1961.json,utf-8-sig,1105093,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_05.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_05_dfe3d689dded.json,utf-8-sig,1132351,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_06.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_06_8440a3b25311.json,utf-8-sig,1085800,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_07.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_07_856f5e0e874e.json,utf-8-sig,1129738,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_08.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_08_88cb36e05c99.json,utf-8-sig,1136559,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_09.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_09_d35d74ed63d7.json,utf-8-sig,1102944,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_10.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_10_204619f87a3d.json,utf-8-sig,1140511,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_11.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_11_141e70fcd4aa.json,utf-8-sig,1102634,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2023_12.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2023_12_bf6bbeb83c2b.json,utf-8-sig,1144573,2026-04-13T20:58:26,
D:\蘇崇維\蘇格蘭\2024\tblGrid\tblGrid_2024_01.csv,cnn_raw_tblGrid,cnn_measurements,CNN 三相歷史監測,三相電壓｜三相電流｜歷史資料曲線,TimeStamp｜Station｜WPSStatus｜TimestampStation｜CurrentL1｜CurrentL2｜CurrentL3｜VoltageL1｜VoltageL2｜VoltageL3｜ActivePower｜ReActivePower｜ActivePowerExport｜ReActivePowerExport｜ActivePowerImport｜ReActivePowerImport｜DigitalInputBlock1｜DigitalInputBlock2｜DigitalInputBlock3｜DigitalInputBlock4｜GridTHD｜PowerFactor｜Frequency,23,10,C:\Users\admin\Downloads\topic\topic_website\Mr_SU\data_preprocessing\output\samples\tblGrid_2024_01_a00b854990a0.json,utf-8-sig,1131123,2026-04-12T20:44:26,
